==PROF== Connected to process 1846820 (/home/ysu34/DiaGPU/sim/paper_bench/bin_sm80/cusparse_fix_bench)
CSRNNZ,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,6995993,4995991,0.7141
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_suitesparse/ecology2.txt,999999,7,spmv,cusparse_csr,19.885,521.073,0.328704,-1
==PROF== Disconnected from process 1846820
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","byte","1,435,648"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","128"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","5.04"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","14,816"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","37.08"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","27.19"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","0.73"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","11.85"
"0","1846820","cusparse_fix_bench","127.0.0.1","void unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, long, T2 *, T2)","1","7","(256, 1, 1)","(20, 1, 1)","0","8.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","80.16"
"1","1846820","cusparse_fix_bench","127.0.0.1","void csrmv_v3_kernel<std::integral_constant<bool, 1>, int, int, float, float, float, float, void>(KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)","1","7","(128, 1, 1)","(4879, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","byte","48,483,328"
